Time (UTC),Open,High,Low,Close,Volume 
2003.12.02 17:19:00,1.20803,1.20826,1.20771,1.20794,1592.8
2003.12.02 17:20:00,1.20778,1.20798,1.20766,1.20768,3571.1
2003.12.02 17:21:00,1.20779,1.20801,1.20767,1.20794,4210.7
2003.12.02 17:22:00,1.20786,1.20818,1.20781,1.20803,643.1
2003.12.02 17:23:00,1.20797,1.20811,1.20787,1.208,2513.8
2003.12.02 17:24:00,1.20791,1.20817,1.20779,1.20815,1646.2
2003.12.02 17:25:00,1.20804,1.20857,1.20802,1.20844,1744.9
2003.12.02 17:26:00,1.20849,1.20876,1.2082,1.20846,1860.8
2003.12.02 17:27:00,1.20848,1.2086,1.2083,1.20841,3153.1
2003.12.02 17:28:00,1.20842,1.20869,1.20825,1.20827,1295.8
2003.12.02 17:29:00,1.20866,1.20893,1.20847,1.20854,864.8
2003.12.02 17:30:00,1.20848,1.20883,1.20831,1.2084,3523.9
2003.12.02 17:31:00,1.20834,1.20859,1.20828,1.20834,5047.9
2003.12.02 17:32:00,1.2082,1.20843,1.208,1.2083,1595.4
2003.12.02 17:33:00,1.20827,1.20859,1.20827,1.20845,2491.4
2003.12.02 17:34:00,1.20844,1.20877,1.20825,1.20855,3397.5
2003.12.02 17:35:00,1.20847,1.2087,1.20822,1.20828,2554.6
2003.12.02 17:36:00,1.20831,1.20851,1.208,1.20822,2066.2
2003.12.02 17:37:00,1.20821,1.20848,1.20814,1.20839,866.4
2003.12.02 17:38:00,1.20833,1.20872,1.20812,1.20868,1239.1
2003.12.02 17:39:00,1.20847,1.20856,1.20818,1.20818,3909.9
2003.12.02 17:40:00,1.20842,1.20853,1.20811,1.20823,2072
2003.12.02 17:41:00,1.20829,1.20845,1.20809,1.20825,2185.3
2003.12.02 17:42:00,1.2081,1.2082,1.20796,1.20808,1841.4
2003.12.02 17:43:00,1.20808,1.20827,1.20807,1.20813,454.6
2003.12.02 17:44:00,1.20788,1.20811,1.20767,1.20767,1417.4
2003.12.02 17:45:00,1.20772,1.20803,1.20772,1.2079,747.4
2003.12.02 17:46:00,1.20787,1.208,1.20771,1.20779,1038.5
2003.12.02 17:47:00,1.20777,1.20795,1.20764,1.20782,1243.5
2003.12.02 17:48:00,1.20777,1.20794,1.20767,1.20793,2499.7
2003.12.02 17:49:00,1.20802,1.20829,1.20771,1.20791,1696.3
2003.12.02 17:50:00,1.20809,1.20834,1.20789,1.20793,1114.4
2003.12.02 17:51:00,1.20805,1.20823,1.20778,1.20778,964.5
2003.12.02 17:52:00,1.20785,1.20809,1.20779,1.20779,757.3
2003.12.02 17:53:00,1.20795,1.20821,1.20791,1.20805,1603.1
2003.12.02 17:54:00,1.20823,1.20839,1.20792,1.20813,1693.8
2003.12.02 17:55:00,1.20822,1.20853,1.2081,1.20853,981
2003.12.02 17:56:00,1.2083,1.20882,1.20804,1.20819,2234.5
2003.12.02 17:57:00,1.20828,1.20875,1.20825,1.20833,4355.2
2003.12.02 17:58:00,1.20818,1.20865,1.20818,1.20864,4081
2003.12.02 17:59:00,1.20863,1.20877,1.20827,1.20844,4279
2003.12.02 18:00:00,1.20848,1.20863,1.20828,1.20842,1439
2003.12.02 18:01:00,1.20831,1.20861,1.20821,1.20861,1599.7
2003.12.02 18:02:00,1.20842,1.20861,1.20824,1.20844,469.7
2003.12.02 18:03:00,1.20872,1.2088,1.20836,1.2084,776.7
2003.12.02 18:04:00,1.20859,1.20891,1.20845,1.20845,2718.2
2003.12.02 18:05:00,1.20853,1.20867,1.20829,1.20839,1320.8
2003.12.02 18:06:00,1.20843,1.20853,1.20822,1.20827,1483
2003.12.02 18:07:00,1.20812,1.20824,1.20787,1.2079,905.7
